contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_2324	3288	4.87858	4.87858	1.40349	0	0	0	0	0	0	0	0	0	0	0	0
contig_2325	917	19.4602	4.40026	0.417908	0	0	12.1591	1.38719	0	0	2.90091	0.118107	0	0	0	0
contig_2327	3591	10.7974	3.44929	0.529492	0.0627725	0.0588459	6.48038	71.3927	0	0	0	0	0.804999	0.511133	0	0
contig_2328	9064	180.277	17.635	7.37518	0	0	156.385	5027.31	0	0	1.43348	0.726678	4.82298	7.13241	0	0
contig_2329	13390	23.5009	14.1881	5.16207	0.167145	0.396305	0	0	0	0	9.06073	128.474	0.0849698	0.107511	0	0
contig_233	647	22.1268	3.84507	0.16748	0.593561	0.241732	8.61167	0.713815	0.830986	0.140732	2.70825	0.287694	3.11469	0.807386	2.42254	0.538847
contig_2331	3279	35.5229	20.381	2.40404	0	0	0	0	0	0	0.128156	0.485862	15.0137	2.35561	0	0
contig_2332	3872	9.66631	5.04299	1.75901	2.98039	0.418583	0	0	0	0	1.64293	5.45676	0	0	0	0
contig_2333	1.70695e+06	17.146	17.0139	23.0085	0.0125164	0.0872535	0.0517812	1.35106	0.00117413	0.0011716	0.0279277	0.0994596	0.0274075	0.0915604	0.0113112	0.0314352
contig_2334	30765	22.2772	3.95757	2.55739	0	0	12.3969	1538.24	0	0	0.473885	2.63954	5.4488	10.8469	0	0
contig_2335	3289	25.5874	6.15132	1.62498	0	0	0	0	0	0	18.4721	390.947	0.964001	0.0347145	0	0
contig_2338	996	7.16667	2.20449	0.723812	3.78723	0.546391	0	0	0.947991	0.0493625	0	0	0	0	0.22695	0.175651
contig_234	565	28.6675	6.17349	4.75243	2.09639	0.348175	6.37108	0.543125	0	0	2.15904	0.332137	10.9133	4.35959	0.954217	0.0437926
contig_2340	2182	12.19	3.12106	0.930694	1.99606	2.68245	7.07283	112.309	0	0	0	0	0	0	0	0
contig_2342	10153	29.2758	6.80836	1.77239	0.227632	0.344749	1.36969	17.1111	0	0	19.3882	853.653	1.48196	2.0945	0	0
contig_2343	55684	36.3317	14.2304	42.7376	0.873735	11.0755	5.52038	564.741	0.180502	2.08854	1.45668	19.8113	13.9713	183.514	0.0986783	0.191865
contig_2344	2785	34.8444	0.743454	0.45732	3.48501	4.46243	23.5545	797.91	0.0447818	0.042793	4.34004	19.3948	2.67666	0.969044	0	0
contig_2345	5569	34.7263	12.6728	2.55314	6.51504	62.0556	0.0289721	0.0569309	0	0	15.5095	349.138	0	0	0	0
contig_2347	5353	13.2704	13.2704	25.7965	0	0	0	0	0	0	0	0	0	0	0	0
contig_2348	552	0.975124	0.975124	0.0243174	0	0	0	0	0	0	0	0	0	0	0	0
contig_235	859	77.2327	20.4118	26.0928	11.0155	7.28648	11.5515	5.46807	0.682652	0.216943	6.15656	3.64637	22.3709	18.1574	5.04372	5.24523
contig_2350	27129	124.468	41.5942	587.751	0.506765	0.884833	67.0565	1484.32	0.0186812	0.0365021	14.7259	29.845	0.565588	2.37941	0	0
contig_2351	28607	223.168	40.0228	61.989	9.80725	21.869	106.108	2498.85	0.0198545	0.0194368	38.7814	263.546	28.4283	67.9081	0	0
contig_2354	10248	4.21014	3.40355	5.929	0	0	0.778075	2.17924	0	0	0	0	0.0285205	0.0277134	0	0
contig_2355	4267	12.4566	5.55332	1.96878	0	0	3.11805	50.4453	0.926889	0.0677816	0.157396	0.132655	2.67233	0.396251	0.0286616	0.0278493
contig_2356	4435	5.27841	4.9762	1.09095	0	0	0	0	0.302217	0.24034	0	0	0	0	0	0
contig_2357	8858	51.5099	4.20992	2.08181	4.69557	15.0746	13.6593	27.9147	0.477607	0.249549	14.0353	70.0865	2.11644	3.47308	12.3158	45.8205
contig_2358	45468	7.87886	4.38793	1.92197	0	0	0	0	0.0229489	0.0224425	0.043272	0.0827886	3.42471	4.3875	0	0
contig_2359	28734	9.56721	3.20651	5.98202	0.0146935	0.014476	2.43769	3.83024	3.06255	5.66536	0.503918	3.91084	0.0129443	0.0127634	0.32889	1.61736
contig_2360	11964	77.4808	3.55815	1.69372	23.3574	88.8561	0	0	0.578043	0.243969	9.20679	19.3125	0.832825	0.838077	39.9476	152.441
contig_2361	11397	12.8464	6.12937	5.38938	1.4298	3.1383	0.348448	0.456695	0	0	0	0	2.90602	14.2022	2.03272	4.26271
contig_2362	14987	18.2417	3.73377	2.57274	2.1809	4.44302	5.53131	4.97517	0	0	2.63402	4.16635	1.02898	0.963745	3.13271	4.63344
contig_2363	11269	3.77165	3.34508	2.42768	0	0	0.155859	0.131577	0	0	0.0285997	0.0277843	0.2118	0.262659	0.0303085	0.0293912
contig_2365	836	10.9315	5.58309	0.433235	0	0	0	0	1.9344	0.0759826	0	0	2.43878	0.342961	0.975219	0.0242026
contig_2366	134296	13.9709	5.31694	3.98177	0.255677	0.272259	4.11854	66.1405	0.804862	8.46474	0.687952	2.5008	2.70799	5.18713	0.0789215	0.113697
contig_2368	2316	10.7267	3.56094	0.609444	7.16574	2.66579	0	0	0	0	0	0	0	0	0	0
contig_2369	14042	7.10351	3.24561	0.698136	0	0	1.48301	1.61988	0	0	0.596386	0.639767	1.77851	0.930597	0	0
contig_2370	5612	22.1243	3.18052	1.08004	1.23709	0.953287	7.83101	4.38002	0.649762	0.549508	3.66148	0.727153	1.71329	0.695292	3.85115	1.18185
contig_2371	21785	5.88593	5.77056	0.907111	0	0	0	0	0.0290733	0.0282344	0	0	0.0862954	0.0910537	0	0
